empresa;codigoarticulo;codigoparticular;articulo;rubro;costo;preciopublico;marca;superrubro;gruposuperrubro;familia;ult_fechaingreso;color;silueta;sitioparapublicar;porcentajedescuento;web
Construmax;1;704294365-1;Sierra Modelo 890;Herramientas Manuales;99.48;197.03;FixMaster;Profesional;Manual;Acero;8/6/2024;Rojo;Sierra;;;
Construmax;2;923156516-8;Destornillador Modelo 499;Herramientas Manuales;257.02;462.44;Structo;Profesional;Seguridad;Plástico;26/1/2024;Amarillo;Destornillador;;;
MaxPro SRL;3;275403922-8;Nivel Modelo 861;Accesorios de Construcción;187.47;320.33;Renova;Hogar;Seguridad;Plástico;8/8/2024;Gris;Nivel;;;
MaxPro SRL;4;599113670-X;Taladro Modelo 321;Accesorios de Construcción;457.73;869.65;HardyWorks;Hogar;Seguridad;Madera;29/12/2024;Gris;Taladro;;;
Construmax;5;716768490-2;Taladro Modelo 861;Fijaciones y Anclajes;463.06;725.01;PowerFix;Profesional;Eléctrica;Plástico;13/9/2024;Verde;Taladro;;;
Construmax;6;662404662-7;Taladro Modelo 610;Equipos de Seguridad;465.62;661.3;MegaTool;Profesional;Eléctrica;Plástico;26/4/2024;Verde;Taladro;;;
Construmax;7;351460790-7;Nivel Modelo 172;Herramientas Eléctricas;131.7;230.76;Construtek;Hogar;Manual;Plástico;31/7/2024;Gris;Nivel;;;
Construmax;8;082613478-5;Casco de seguridad Modelo 680;Equipos de Seguridad;277.14;500.38;Renova;Hogar;Eléctrica;Madera;13/1/2024;Blanco;Casco de seguridad;;20.0;
MaxPro SRL;9;795048851-4;Cinta métrica Modelo 421;Herramientas Manuales;192.22;349.05;PowerFix;Profesional;Eléctrica;Goma;23/11/2024;Blanco;Cinta métrica;;46.0;
Construmax;10;207950672-2;Clavos Modelo 545;Equipos de Seguridad;348.64;467.3;BuildPro;Profesional;Neumática;Aluminio;18/2/2024;Amarillo;Clavos;;;
Construmax;11;637938760-9;Taladro Modelo 794;Equipos de Seguridad;45.48;79.61;Renova;Hogar;Medición;Plástico;26/12/2024;Verde;Taladro;;;
MaxPro SRL;12;597681139-6;Tornillos Modelo 368;Herramientas Eléctricas;473.74;623.62;Construtek;Profesional;Neumática;Aluminio;15/5/2024;Verde;Tornillos;;38.0;
Construmax;13;425047690-1;Pinza Modelo 127;Equipos de Seguridad;168.75;245.5;FerroMax;Hogar;Manual;Goma;4/8/2024;Rojo;Pinza;;;
MaxPro SRL;14;956122238-8;Clavos Modelo 600;Equipos de Seguridad;104.27;176.31;FerroMax;Profesional;Medición;Goma;30/9/2024;Amarillo;Clavos;;;
MaxPro SRL;15;101891850-7;Clavos Modelo 104;Accesorios de Construcción;274.29;426.95;BuildPro;Hogar;Medición;Goma;31/1/2024;Azul;Clavos;;48.0;
MaxPro SRL;16;199924492-3;Nivel Modelo 572;Accesorios de Construcción;270.63;417.6;FerroMax;Profesional;Eléctrica;Madera;9/11/2024;Negro;Nivel;;;
MaxPro SRL;17;619546601-8;Martillo Modelo 273;Herramientas Manuales;82.75;129.09;FixMaster;Hogar;Medición;Aluminio;6/5/2024;Gris;Martillo;;;
Construmax;18;509862398-7;Cutter Modelo 241;Fijaciones y Anclajes;449.86;588.13;Structo;Hogar;Manual;Plástico;27/4/2024;Negro;Cutter;;;
