empresa;codigoarticulo;codigoparticular;Talle;codigodeposito;Deposito;Stock;fechamodificacion
Emp1;1;704294365-1;1;1;01 - Central;34;21/1/2024
Emp1;1;704294365-1;4;1;01 - Central;8;7/4/2024
Emp1;1;704294365-1;2;4;04 - Outleet;18;11/4/2024
Emp1;2;923156516-8;5;1;01 - Central;34;22/3/2024
Emp1;2;923156516-8;3;4;04 - Outleet;15;10/4/2024
Emp1;2;923156516-8;3;4;04 - Outleet;34;22/5/2024
Emp2;3;275403922-8;4;4;04 - Outleet;5;4/2/2024
Emp2;3;275403922-8;4;4;04 - Outleet;22;23/2/2024
Emp2;3;275403922-8;4;3;03 - Shooping B;11;19/4/2024
Emp2;3;275403922-8;5;3;03 - Shooping B;18;14/4/2024
Emp2;3;275403922-8;1;3;03 - Shooping B;15;4/2/2024
Emp2;3;275403922-8;1;3;03 - Shooping B;18;8/12/2023
Emp2;4;599113670-X;4;4;04 - Outleet;53;9/2/2024
Emp2;4;599113670-X;3;4;04 - Outleet;39;22/5/2024
Emp1;5;716768490-2;2;4;04 - Outleet;29;2/4/2024
Emp1;5;716768490-2;4;3;03 - Shooping B;40;8/4/2024
Emp1;5;716768490-2;4;3;03 - Shooping B;33;18/4/2024
Emp1;5;716768490-2;5;4;04 - Outleet;33;26/4/2024
Emp1;6;662404662-7;3;1;01 - Central;20;26/1/2024
Emp1;6;662404662-7;3;1;01 - Central;18;28/1/2024
Emp1;6;662404662-7;2;3;03 - Shooping B;39;1/3/2024
Emp1;6;662404662-7;5;2;02 - Shooping A;6;4/12/2023
Emp1;7;351460790-7;5;1;01 - Central;4;18/4/2024
Emp1;7;351460790-7;5;1;01 - Central;12;8/5/2024
Emp1;7;351460790-7;3;4;04 - Outleet;33;5/1/2024
Emp1;7;351460790-7;5;1;01 - Central;7;2/4/2024
Emp1;8;082613478-5;5;3;03 - Shooping B;16;28/12/2023
Emp1;8;082613478-5;4;1;01 - Central;59;5/2/2024
Emp1;8;082613478-5;1;4;04 - Outleet;2;3/4/2024
Emp1;8;082613478-5;2;2;02 - Shooping A;6;5/3/2024
Emp1;8;082613478-5;5;3;03 - Shooping B;58;31/1/2024
Emp1;8;082613478-5;3;3;03 - Shooping B;24;21/12/2023
Emp1;8;082613478-5;1;3;03 - Shooping B;57;12/3/2024
Emp2;9;795048851-4;1;3;03 - Shooping B;44;27/12/2023
Emp2;9;795048851-4;1;2;02 - Shooping A;25;13/5/2024
Emp2;9;795048851-4;5;3;03 - Shooping B;18;12/2/2024
Emp2;9;795048851-4;2;4;04 - Outleet;20;7/5/2024
Emp2;9;795048851-4;2;1;01 - Central;48;21/3/2024
Emp1;10;207950672-2;3;2;02 - Shooping A;42;10/12/2023
Emp1;10;207950672-2;3;3;03 - Shooping B;51;12/3/2024
Emp1;10;207950672-2;3;2;02 - Shooping A;41;20/3/2024
Emp1;10;207950672-2;4;4;04 - Outleet;6;2/12/2023
Emp1;11;637938760-9;2;1;01 - Central;8;27/3/2024
Emp1;11;637938760-9;2;4;04 - Outleet;16;24/5/2024
Emp1;11;637938760-9;5;2;02 - Shooping A;3;29/5/2024
Emp1;11;637938760-9;2;4;04 - Outleet;13;2/4/2024
Emp1;11;637938760-9;3;2;02 - Shooping A;16;13/12/2023
Emp2;12;597681139-6;4;2;02 - Shooping A;34;22/2/2024
Emp2;12;597681139-6;4;1;01 - Central;25;23/12/2023
Emp2;12;597681139-6;4;3;03 - Shooping B;27;17/2/2024
Emp2;12;597681139-6;5;2;02 - Shooping A;46;15/1/2024
Emp2;12;597681139-6;4;2;02 - Shooping A;32;7/12/2023
Emp2;12;597681139-6;2;4;04 - Outleet;13;5/5/2024
Emp2;12;597681139-6;5;1;01 - Central;22;5/12/2023
Emp1;13;425047690-1;5;1;01 - Central;16;2/12/2023
Emp1;13;425047690-1;4;2;02 - Shooping A;23;8/2/2024
Emp1;13;425047690-1;3;4;04 - Outleet;55;5/2/2024
Emp2;14;956122238-8;2;4;04 - Outleet;3;26/5/2024
Emp2;14;956122238-8;2;2;02 - Shooping A;50;27/12/2023
Emp2;15;101891850-7;2;4;04 - Outleet;16;9/1/2024
Emp2;15;101891850-7;4;1;01 - Central;49;18/3/2024
Emp2;15;101891850-7;4;2;02 - Shooping A;7;26/5/2024
Emp2;15;101891850-7;5;1;01 - Central;36;20/1/2024
Emp2;16;199924492-3;3;4;04 - Outleet;5;20/1/2024
Emp2;16;199924492-3;1;3;03 - Shooping B;47;17/5/2024
Emp2;16;199924492-3;4;4;04 - Outleet;55;7/4/2024
Emp2;17;619546601-8;2;4;04 - Outleet;11;3/3/2024
Emp2;17;619546601-8;5;4;04 - Outleet;45;13/5/2024
Emp2;17;619546601-8;3;3;03 - Shooping B;13;9/1/2024
Emp2;17;619546601-8;3;1;01 - Central;53;17/2/2024
Emp2;17;619546601-8;2;1;01 - Central;46;6/1/2024
Emp1;18;509862398-7;4;1;01 - Central;4;9/4/2024
Emp1;18;509862398-7;3;3;03 - Shooping B;38;16/5/2024
Emp1;19;380488577-2;4;2;02 - Shooping A;57;6/12/2023
Emp1;19;380488577-2;3;1;01 - Central;8;10/5/2024
Emp1;19;380488577-2;2;1;01 - Central;39;22/1/2024
Emp1;19;380488577-2;2;3;03 - Shooping B;4;26/4/2024
Emp1;19;380488577-2;2;2;02 - Shooping A;33;18/4/2024
Emp2;20;022871299-8;1;1;01 - Central;22;8/3/2024
Emp2;20;022871299-8;3;3;03 - Shooping B;38;26/12/2023
Emp2;20;022871299-8;2;1;01 - Central;56;1/5/2024
Emp2;20;022871299-8;2;2;02 - Shooping A;31;16/4/2024
Emp2;20;022871299-8;3;1;01 - Central;59;12/1/2024
Emp2;21;243961690-7;4;1;01 - Central;45;2/4/2024
Emp2;21;243961690-7;1;2;02 - Shooping A;51;28/3/2024
Emp1;22;061313152-5;3;4;04 - Outleet;11;20/3/2024
Emp1;22;061313152-5;2;3;03 - Shooping B;31;27/4/2024
Emp1;22;061313152-5;2;2;02 - Shooping A;15;23/3/2024
Emp1;22;061313152-5;4;4;04 - Outleet;23;12/1/2024
Emp2;23;366451144-1;5;3;03 - Shooping B;4;14/1/2024
Emp2;23;366451144-1;4;3;03 - Shooping B;51;21/1/2024
Emp2;23;366451144-1;2;2;02 - Shooping A;35;20/3/2024
Emp2;24;954717269-7;3;2;02 - Shooping A;41;26/3/2024
Emp2;24;954717269-7;3;3;03 - Shooping B;7;17/12/2023
Emp2;24;954717269-7;3;3;03 - Shooping B;30;31/12/2023
Emp2;24;954717269-7;4;3;03 - Shooping B;5;24/4/2024
Emp2;24;954717269-7;3;4;04 - Outleet;19;25/4/2024
Emp2;24;954717269-7;4;4;04 - Outleet;30;8/2/2024
Emp2;24;954717269-7;1;4;04 - Outleet;5;27/2/2024
Emp2;24;954717269-7;2;2;02 - Shooping A;37;4/4/2024
Emp2;24;954717269-7;5;4;04 - Outleet;3;17/1/2024
Emp1;25;780192867-9;1;3;03 - Shooping B;2;7/12/2023
Emp1;25;780192867-9;3;1;01 - Central;48;13/12/2023
Emp1;25;780192867-9;4;3;03 - Shooping B;22;4/3/2024
Emp1;25;780192867-9;5;4;04 - Outleet;2;13/1/2024
Emp1;25;780192867-9;4;3;03 - Shooping B;17;2/5/2024
Emp1;26;118413385-9;4;2;02 - Shooping A;39;27/12/2023
Emp2;27;186842568-1;3;4;04 - Outleet;26;1/2/2024
Emp2;27;186842568-1;1;3;03 - Shooping B;29;15/1/2024
Emp2;27;186842568-1;3;3;03 - Shooping B;32;26/1/2024
Emp2;27;186842568-1;1;2;02 - Shooping A;39;16/5/2024
Emp2;27;186842568-1;3;4;04 - Outleet;16;16/1/2024
Emp2;27;186842568-1;2;2;02 - Shooping A;16;18/5/2024
Emp2;27;186842568-1;4;1;01 - Central;30;20/12/2023
Emp1;28;378340684-6;3;2;02 - Shooping A;2;29/1/2024
Emp1;28;378340684-6;3;1;01 - Central;42;31/1/2024
Emp1;28;378340684-6;1;4;04 - Outleet;42;18/4/2024
Emp1;28;378340684-6;4;2;02 - Shooping A;28;19/2/2024
Emp2;29;784226565-8;3;2;02 - Shooping A;31;31/12/2023
Emp2;29;784226565-8;3;4;04 - Outleet;25;9/5/2024
Emp2;29;784226565-8;2;4;04 - Outleet;3;5/3/2024
Emp2;29;784226565-8;3;4;04 - Outleet;57;9/2/2024
Emp2;29;784226565-8;4;1;01 - Central;48;1/5/2024
Emp1;30;204747896-0;4;1;01 - Central;59;3/3/2024
Emp1;30;204747896-0;1;1;01 - Central;28;22/2/2024
Emp2;31;724243147-6;3;3;03 - Shooping B;55;11/4/2024
Emp2;31;724243147-6;3;4;04 - Outleet;9;29/2/2024
Emp2;31;724243147-6;2;3;03 - Shooping B;36;7/4/2024
Emp2;31;724243147-6;5;4;04 - Outleet;28;25/5/2024
Emp1;32;840152202-1;3;3;03 - Shooping B;60;9/5/2024
Emp1;32;840152202-1;3;1;01 - Central;48;20/5/2024
Emp2;33;633068701-3;5;1;01 - Central;35;6/2/2024
Emp2;33;633068701-3;2;4;04 - Outleet;39;25/3/2024
Emp2;33;633068701-3;2;3;03 - Shooping B;12;29/2/2024
